Unit ID,Unit name,Unit name local script,Fuel type,Unit type,Country,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Basin,Concession / block,Project or complex,Government unit ID,Wiki URL,Wiki URL local
OG0014202,Heidelberg (GC859) - Anadarko,,oil and gas,asset,United States,Federal offshore,27.091,-90.8115,exact,operating,2020,,,Anadarko,,,,,,GC859_981,"https://www.gem.wiki/Heidelberg_(GC859)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)",
OG0014203,Marlin (VK915) - Anadarko,,oil and gas,asset,United States,Federal offshore,29.1095,-87.946,exact,operating,2020,,,Anadarko,,,,,,VK915_981,"https://www.gem.wiki/Marlin_(VK915)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)",
OG0014204,Friesian (GC599) - Anadarko,,oil and gas,asset,United States,Federal offshore,27.327,-90.612,exact,operating,2020,,,Anadarko,,,,,,GC599_981,"https://www.gem.wiki/Friesian_(GC599)_-_Anadarko_Oil_and_Gas_Asset_(Federal_offshore,_United_States)",
OG0014206,SM073 - Ankor,,oil and gas,asset,United States,Federal offshore,28.6234,-92.085,exact,operating,2020,,,Ankor Energy,,,,,,SM073_3059,"https://www.gem.wiki/SM073_-_Ankor_Oil_and_Gas_Asset_(Federal_offshore,_United_States)",
OG0014207,MC020 - Ankor,,oil and gas,asset,United States,Federal offshore,28.93233333,-88.91666667,exact,operating,2020,,,Ankor Energy,,,,,,MC020_3059,"https://www.gem.wiki/MC020_-_Ankor_Oil_and_Gas_Asset_(Federal_offshore,_United_States)",
OG0014208,VR191 - Ankor,,oil and gas,asset,United States,Federal offshore,28.8305,-92.159,exact,operating,2020,,,Ankor Energy,,,,,,VR191_3059,"https://www.gem.wiki/VR191_-_Ankor_Oil_and_Gas_Asset_(Federal_offshore,_United_States)",
OG0014213,Tyler County - Antero,,oil and gas,asset,United States,West Virginia,39.41623545,-80.86408848,exact,operating,2020,,,Antero Resources,,,,,,,"https://www.gem.wiki/Tyler_County_-_Antero_Oil_and_Gas_Asset_(West_Virginia,_United_States)",
OG0014214,Doddridge County - Antero,,oil and gas,asset,United States,West Virginia,39.28692158,-80.7158273,exact,operating,2020,,,Antero Resources,,,,,,,"https://www.gem.wiki/Doddridge_County_-_Antero_Oil_and_Gas_Asset_(West_Virginia,_United_States)",
OG0014215,Ritchie County - Antero,,oil and gas,asset,United States,West Virginia,39.27328159,-80.92867123,exact,operating,2020,,,Antero Resources,,,,,,,"https://www.gem.wiki/Ritchie_County_-_Antero_Oil_and_Gas_Asset_(West_Virginia,_United_States)",
OG0014216,Harrison County - Antero,,oil and gas,asset,United States,West Virginia,39.25999806,-80.45571759,exact,operating,2020,,,Antero Resources,,,,,,,"https://www.gem.wiki/Harrison_County_-_Antero_Oil_and_Gas_Asset_(West_Virginia,_United_States)",
